Nom de la demande:Avignon2018_daily;;;;;;;;;
84007004;2018;3;23;0;0;59;;;
84007004;2018;3;24;0;0;67;1.8;9.4;14.8
84007004;2018;3;25;0;0;70;6.2;10.4;16.3
84007004;2018;3;26;0;0;58;5.8;12.3;17.2
84007004;2018;3;27;0.2;0;65;8.8;11.3;15.5
84007004;2018;3;28;0;0.5;68;5.4;13.7;20.7
84007004;2018;3;29;6.7;0;67;10.3;13.4;18.8
84007004;2018;3;30;1.9;2;73;8;11.7;18.3
84007004;2018;3;31;1.2;0;64;4.3;10.4;17.4
84007004;2018;4;1;0;0;56;4.7;10.5;16.5
84007004;2018;4;2;0;0;61;3;11;16.1
84007004;2018;4;3;0;0;56;9.7;15.6;21.1
84007004;2018;4;4;0.1;2.5;75;13.7;15;20.6
84007004;2018;4;5;1.6;0;63;7.3;13.9;20.5
84007004;2018;4;6;0;0;69;4.8;13;21.1
84007004;2018;4;7;0;0.5;58;7;16;24.6
84007004;2018;4;8;0.5;4.5;46;14.1;17.6;20.2
84007004;2018;4;9;13.8;18;82;10.9;13.4;18.5
84007004;2018;4;10;0.8;3.5;72;10.1;12.9;16.7
84007004;2018;4;11;2.3;43;82;9;10.6;15.2
84007004;2018;4;12;0;4;85;6.5;9.3;11.4
84007004;2018;4;13;0.8;2.5;75;9;13.3;17.4
84007004;2018;4;14;4.9;0.5;80;10.7;13.4;16.9
84007004;2018;4;15;0.1;0;69;7.6;16;23
84007004;2018;4;16;0;0;56;13.9;18.1;22.2
84007004;2018;4;17;0;0;54;13.9;19.2;26.1
84007004;2018;4;18;0;0;67;9.8;18;26.7
84007004;2018;4;19;0.2;0;64;9.3;17.2;26
84007004;2018;4;20;0;0;64;8.5;17.7;27.5
84007004;2018;4;21;0.1;0;64;9.1;18.5;28.1
84007004;2018;4;22;0.3;0;68;9;17.4;26.1
84007004;2018;4;23;1.6;0;73;9.7;17.7;25.1
84007004;2018;4;24;0;0;68;14;20.2;28.3
84007004;2018;4;25;1;0;72;11.2;19.6;28.3
84007004;2018;4;26;0;0;49;15.4;18.1;22.1
84007004;2018;4;27;0;0;68;8.5;16.4;23.2
84007004;2018;4;28;2.4;0;76;10.4;17.1;22.4
84007004;2018;4;29;6.5;25;74;13.4;15.7;22.6
84007004;2018;4;30;3.2;4.5;78;7.6;12.9;18.1
84007004;2018;5;1;2.9;1;82;10;12;15.4
84007004;2018;5;2;0;0;60;10.5;15.1;19.7
84007004;2018;5;3;0;0;59;13.9;15.8;18.5
84007004;2018;5;4;0;0.5;63;14.8;17.7;21.9
84007004;2018;5;5;11.1;4.5;79;12.1;18.1;26.6
84007004;2018;5;6;8.7;1;79;13.8;19.2;26.5
84007004;2018;5;7;2.5;9.5;83;12.9;18.1;25.5
84007004;2018;5;8;3.1;18;85;13.9;17.8;25
84007004;2018;5;9;0;1;75;13;19.3;25.5
84007004;2018;5;10;1.1;0;66;14.2;18.1;22.3
84007004;2018;5;11;0;0;67;12.9;17.4;24.1
84007004;2018;5;12;0.1;0.5;74;10.6;17.3;23.2
84007004;2018;5;13;0;36.5;87;7.3;9.2;9.2
84007004;2018;5;14;1.7;1;79;7.6;11.2;16.4
84007004;2018;5;15;0;0;73;10.1;15.8;20.5
84007004;2018;5;16;0;0;63;13.2;18.1;23.6
84007004;2018;5;17;0;0;65;13.6;18.5;24.1
84007004;2018;5;18;0;0;71;11.8;18.8;25.9
84007004;2018;5;19;0.2;0;72;11.7;18.6;26.9
84007004;2018;5;20;0.4;0;73;10.6;17.9;27.2
84007004;2018;5;21;3.8;3.5;80;11.2;17;25.1
84007004;2018;5;22;0.8;2.5;85;13.5;17.3;22.7
84007004;2018;5;23;1.4;2.5;83;13.5;17.7;24.8
84007004;2018;5;24;0;0;76;12.2;19.1;26.6
84007004;2018;5;25;0;0;70;12;20.4;27.9
84007004;2018;5;26;0;0;76;14.9;20.4;29.4
84007004;2018;5;27;0.3;1;74;14.1;21.4;27.6
84007004;2018;5;28;7.2;1.5;83;17.6;19.4;23.3
84007004;2018;5;29;0.4;0.5;76;13.3;20.4;25.9
84007004;2018;5;30;8.4;10.5;89;16.8;18.3;21.5
84007004;2018;5;31;3;16;86;16.3;18.6;23.6
84007004;2018;6;1;0.6;0;75;12.8;20.6;28.2
84007004;2018;6;2;0.3;0;78;14.2;20.9;28.2
84007004;2018;6;3;5.1;0.5;83;16.6;19.9;25.9
84007004;2018;6;4;7;0;83;17.2;19.8;26.4
84007004;2018;6;5;0.5;0;79;14.5;20.7;27.1
84007004;2018;6;6;3.2;1.5;76;17.8;20.7;25.2
84007004;2018;6;7;1.5;0.5;82;16.2;19.7;23.9
84007004;2018;6;8;0;0;75;17;21.3;28.4
84007004;2018;6;9;0;0;72;14.6;22.3;29.7
84007004;2018;6;10;1.2;6;64;16.5;22.7;29.4
84007004;2018;6;11;3.8;29.5;83;17.4;20.1;25.8
84007004;2018;6;12;1.6;13;79;15.6;19.7;26.6
84007004;2018;6;13;1.1;0;69;16;19.2;23.1
84007004;2018;6;14;0;0;54;16.1;20.7;24.7
84007004;2018;6;15;0;0;55;18.2;22.6;27.8
84007004;2018;6;16;0;0;55;18.9;24.2;29.5
84007004;2018;6;17;0;0;56;20.1;23.3;27.3
84007004;2018;6;18;0;0;52;18.5;22.9;27.6
84007004;2018;6;19;0;0;56;19.5;25.6;31.7
84007004;2018;6;20;0;0;63;16.9;25.2;32.7
84007004;2018;6;21;0.2;0;62;17.6;26.3;33.8
84007004;2018;6;22;0;0;45;18.3;21.9;25.5
84007004;2018;6;23;0;0;43;16.2;22.1;28.1
84007004;2018;6;24;0;0;43;18.5;23.3;29.2
84007004;2018;6;25;0;0;46;18.8;24;29.7
84007004;2018;6;26;0;0;60;15.6;23.3;30.4
84007004;2018;6;27;0;0;53;15.9;25.4;32.5
84007004;2018;6;28;0;0;49;21;24.8;30.7
84007004;2018;6;29;1.5;0;67;16.4;23.6;30.8
84007004;2018;6;30;4.9;0;60;15.8;24.6;33
84007004;2018;7;1;5.1;0;57;15.8;24.7;33.3
84007004;2018;7;2;2.8;0;64;16.6;24.8;31.7
84007004;2018;7;3;0.2;0;67;19.3;26.2;32.8
84007004;2018;7;4;1.4;0;67;18.8;26.3;33.3
84007004;2018;7;5;3.7;0;56;20;25.8;31.7
84007004;2018;7;6;0.2;0;53;19.8;25.2;30
84007004;2018;7;7;0;0;46;21.5;27.2;32.4
84007004;2018;7;8;0;0;43;21.6;27.5;33.6
84007004;2018;7;9;0;0;38;23.3;28;33
84007004;2018;7;10;0;0;39;22.4;27.2;32.4
84007004;2018;7;11;0;0;40;20.5;24.2;29.1
84007004;2018;7;12;0;0;45;18.5;24.3;31
84007004;2018;7;13;4.7;0;50;15.6;25.6;35.4
84007004;2018;7;14;1.3;0;57;19.8;26.5;35.3
84007004;2018;7;15;8.5;0;60;19.8;26.3;35.3
84007004;2018;7;16;8.3;0;66;20.7;23.7;28.1
84007004;2018;7;17;0;0;44;21.7;27.4;33.2
84007004;2018;7;18;0;0;45;21.8;27.3;34.6
84007004;2018;7;19;0.4;0;47;18.7;27.7;35.6
84007004;2018;7;20;6.8;22.5;63;18.8;25.7;34.9
84007004;2018;7;21;6.7;0;64;17.8;24;29.7
84007004;2018;7;22;0;0;47;20.1;25.5;30.8
84007004;2018;7;23;0;0;45;22.2;27.3;33.3
84007004;2018;7;24;0;0;62;18.4;26.1;33.4
84007004;2018;7;25;4.8;0;55;19.6;28;35.9
84007004;2018;7;26;3.3;0;56;19.7;27.9;36.8
84007004;2018;7;27;7.7;0;62;19.7;27.2;35.1
84007004;2018;7;28;5.5;0;61;20.6;27;32.6
84007004;2018;7;29;4.6;0;59;20.2;27.3;35.5
84007004;2018;7;30;8.2;0;65;20.1;27.5;36.8
84007004;2018;7;31;7;0;60;20;28.8;38.6
84007004;2018;8;1;6;0;56;20.5;28.7;38.7
84007004;2018;8;2;2.6;0;47;21.2;30.5;36.9
84007004;2018;8;3;1.4;0;55;21.9;29.5;37
84007004;2018;8;4;1.6;0;56;22.9;30;39.4
84007004;2018;8;5;0;0;56;22.8;29.1;37.9
84007004;2018;8;6;0;0;56;22.2;28.6;36.2
84007004;2018;8;7;5.9;0;63;21.2;27.9;34.4
84007004;2018;8;8;4.6;0;67;22.4;27.5;33
84007004;2018;8;9;8;90;84;18.8;21.9;27.2
84007004;2018;8;10;0;0;60;18.3;23.3;29.4
84007004;2018;8;11;0;0;46;17.7;24.1;29.8
84007004;2018;8;12;0.5;4.5;61;15.1;24.6;32.4
84007004;2018;8;13;14.1;0.5;77;19.4;23;29.8
84007004;2018;8;14;6.4;0;61;17.9;23.9;28.2
84007004;2018;8;15;0;0;53;20.7;25.1;30.5
84007004;2018;8;16;0;0;63;16.7;24.1;31.6
84007004;2018;8;17;3.5;7;72;16.4;22.5;30.7
84007004;2018;8;18;0;0;58;21;25;29.5
84007004;2018;8;19;0;0;49;20.5;26.1;31.5
84007004;2018;8;20;0;0;54;20.8;25.8;32.6
84007004;2018;8;21;0;0;60;18.8;26.5;33.4
84007004;2018;8;22;0.3;0;66;20.4;25;31.2
84007004;2018;8;23;0;0;64;17.6;25;32.7
84007004;2018;8;24;0;0;59;19.3;24.3;29.2
84007004;2018;8;25;0;0;50;19;20.1;23.1
84007004;2018;8;26;0;0;44;14.7;19.7;25.2
84007004;2018;8;27;0;0;47;12.2;21.8;30.6
84007004;2018;8;28;0.3;0;62;15.2;23.2;31.2
84007004;2018;8;29;3.6;0;70;18.8;23.8;31.1
84007004;2018;8;30;0;0;51;19.5;21.4;24.7
84007004;2018;8;31;0;0;49;18.4;22.4;27.2
84007004;2018;9;1;0;0;49;16.2;20.9;25.3
84007004;2018;9;2;0;0;49;16.8;21.2;26.6
84007004;2018;9;3;0;0;60;12.4;20.6;28.4
84007004;2018;9;4;0;0;59;14;21.7;30.8
84007004;2018;9;5;2.3;0;67;14.3;22.1;30.4
84007004;2018;9;6;10.2;8;81;19.3;21;26.1
84007004;2018;9;7;0;0;59;18.5;22.7;27.9
84007004;2018;9;8;0;0;59;17.1;22;29
84007004;2018;9;9;1.9;0;70;15.1;22;29.3
84007004;2018;9;10;6.9;0;69;16.7;22.6;32.9
84007004;2018;9;11;4.9;0;67;14.7;22.8;32.1
84007004;2018;9;12;6.2;7.5;67;15.7;22.7;31.7
84007004;2018;9;13;8.2;0;65;17.5;24.4;32.8
84007004;2018;9;14;0;0;55;21.2;24.4;28.9
84007004;2018;9;15;0;0;52;19.2;22.2;28.9
84007004;2018;9;16;0.6;0;67;13.3;20.5;29
84007004;2018;9;17;7;0;73;15.8;22.1;29.4
84007004;2018;9;18;8.8;0;75;15.7;22.5;29.4
84007004;2018;9;19;8;0;73;17.9;23.5;32
84007004;2018;9;20;5.4;0;67;15.7;23.1;33.7
84007004;2018;9;21;6.5;0;64;15.6;23.3;31.5
84007004;2018;9;22;0;0;39;15.7;21.2;28
84007004;2018;9;23;0;0;44;18.1;26.1;34.5
84007004;2018;9;24;0;0;52;15.9;17.7;20.1
84007004;2018;9;25;0;0;48;12.9;17.5;24.4
84007004;2018;9;26;0.8;0;63;9.3;17;26.3
84007004;2018;9;27;11.1;0;72;9.3;17.2;26.5
84007004;2018;9;28;7.9;0;58;9.1;20.6;30.4
84007004;2018;9;29;1.6;0;53;16.8;20.3;27
84007004;2018;9;30;9.4;0;71;12.9;17.6;25.2
