cultivar;harvest_date;harvest_n;temp;irr;box;fruit_n;weight;dah;obs_date;infection;perc_infection;Pathogene
Nectarlove;22/07/2019;1;T2;100%;4;4;163.5;0;22/07/2019;0;;
Nectarlove;22/07/2019;1;T2;100%;4;5;163;0;22/07/2019;0;;
Nectarlove;22/07/2019;1;T2;100%;4;6;181.9;0;22/07/2019;0;;
Nectarlove;22/07/2019;1;T2;100%;4;7;191.7;0;22/07/2019;0;;
Nectarlove;22/07/2019;1;T2;100%;4;8;185.6;0;22/07/2019;0;;
Nectarlove;22/07/2019;1;T2;100%;4;9;211.6;0;22/07/2019;0;;
Nectarlove;22/07/2019;1;T2;100%;4;10;166.8;0;22/07/2019;0;;
Nectarlove;22/07/2019;1;T2;100%;4;11;151.6;0;22/07/2019;0;;
Nectarlove;22/07/2019;1;T2;100%;4;12;188.9;0;22/07/2019;0;;
Nectarlove;22/07/2019;1;T2;100%;4;13;167;0;22/07/2019;0;;
Nectarlove;22/07/2019;1;T2;100%;4;14;204.1;0;22/07/2019;0;;
Nectarlove;22/07/2019;1;T2;100%;4;15;134.3;0;22/07/2019;0;;
Nectarlove;22/07/2019;1;T2;100%;4;16;160.4;0;22/07/2019;0;;
Nectarlove;22/07/2019;1;T2;100%;4;17;186.3;0;22/07/2019;0;;
Nectarlove;22/07/2019;1;T2;100%;4;18;171.2;0;22/07/2019;0;;
Nectarlove;22/07/2019;1;T2;100%;4;19;168;0;22/07/2019;0;;
Nectarlove;22/07/2019;1;T2;100%;4;20;145.6;0;22/07/2019;0;;
Nectarlove;22/07/2019;1;T15;50%;1;1;163.5;0;22/07/2019;0;;
Nectarlove;22/07/2019;1;T15;50%;1;2;160.4;0;22/07/2019;0;;
Nectarlove;22/07/2019;1;T15;50%;1;3;122.2;0;22/07/2019;0;;
Nectarlove;22/07/2019;1;T15;50%;1;4;162.3;0;22/07/2019;0;;
Nectarlove;22/07/2019;1;T15;50%;1;5;170.6;0;22/07/2019;0;;
Nectarlove;22/07/2019;1;T15;50%;1;6;146.7;0;22/07/2019;0;;
Nectarlove;22/07/2019;1;T15;50%;1;7;125;0;22/07/2019;0;;
Nectarlove;22/07/2019;1;T15;50%;1;8;131.3;0;22/07/2019;0;;
Nectarlove;22/07/2019;1;T15;50%;1;9;157;0;22/07/2019;0;;
Nectarlove;22/07/2019;1;T15;50%;1;10;108.5;0;22/07/2019;0;;
Nectarlove;22/07/2019;1;T15;50%;1;11;136.8;0;22/07/2019;0;;
Nectarlove;22/07/2019;1;T15;50%;1;12;117.6;0;22/07/2019;0;;
Nectarlove;22/07/2019;1;T15;50%;1;13;162.4;0;22/07/2019;0;;
Nectarlove;22/07/2019;1;T15;50%;1;14;136.1;0;22/07/2019;0;;
Nectarlove;22/07/2019;1;T15;50%;1;15;108.5;0;22/07/2019;0;;
Nectarlove;22/07/2019;1;T15;50%;1;16;119.8;0;22/07/2019;0;;
Nectarlove;22/07/2019;1;T15;50%;1;17;125.1;0;22/07/2019;0;;
Nectarlove;22/07/2019;1;T15;50%;1;18;170.8;0;22/07/2019;0;;
Nectarlove;22/07/2019;1;T15;50%;1;19;173.6;0;22/07/2019;0;;
Nectarlove;22/07/2019;1;T15;50%;1;20;151.1;0;22/07/2019;0;;
Nectarlove;22/07/2019;1;T15;50%;2;1;142.3;0;22/07/2019;0;;
Nectarlove;22/07/2019;1;T15;50%;2;2;199.9;0;22/07/2019;0;;
Nectarlove;22/07/2019;1;T15;50%;2;3;130.3;0;22/07/2019;0;;
Nectarlove;22/07/2019;1;T15;50%;2;4;113;0;22/07/2019;0;;
Nectarlove;22/07/2019;1;T15;50%;2;5;134.5;0;22/07/2019;0;;
Nectarlove;22/07/2019;1;T15;50%;2;6;134.4;0;22/07/2019;0;;
Nectarlove;22/07/2019;1;T15;50%;2;7;130.1;0;22/07/2019;0;;
Nectarlove;22/07/2019;1;T15;50%;2;8;205.3;0;22/07/2019;0;;
Nectarlove;22/07/2019;1;T15;50%;2;9;128.1;0;22/07/2019;0;;
Nectarlove;22/07/2019;1;T15;50%;2;10;126.9;0;22/07/2019;0;;
Nectarlove;22/07/2019;1;T15;50%;2;11;118.1;0;22/07/2019;0;;
Nectarlove;22/07/2019;1;T15;50%;2;12;164.1;0;22/07/2019;0;;
Nectarlove;22/07/2019;1;T15;50%;2;13;162;0;22/07/2019;0;;
Nectarlove;22/07/2019;1;T15;50%;2;14;154.4;0;22/07/2019;0;;
Nectarlove;22/07/2019;1;T15;50%;2;15;156.3;0;22/07/2019;0;;
Nectarlove;22/07/2019;1;T15;50%;2;16;151.9;0;22/07/2019;0;;
Nectarlove;22/07/2019;1;T15;50%;2;17;130.1;0;22/07/2019;0;;
Nectarlove;22/07/2019;1;T15;50%;2;18;142;0;22/07/2019;0;;
Nectarlove;22/07/2019;1;T15;50%;2;19;134.9;0;22/07/2019;0;;
Nectarlove;22/07/2019;1;T15;50%;2;20;152;0;22/07/2019;0;;
Nectarlove;22/07/2019;1;T15;50%;3;1;162.8;0;22/07/2019;0;;
Nectarlove;22/07/2019;1;T15;50%;3;2;112.2;0;22/07/2019;0;;
Nectarlove;22/07/2019;1;T15;50%;3;3;125.3;0;22/07/2019;0;;
Nectarlove;22/07/2019;1;T15;50%;3;4;123.9;0;22/07/2019;0;;
Nectarlove;22/07/2019;1;T15;50%;3;5;164;0;22/07/2019;0;;
Nectarlove;22/07/2019;1;T15;50%;3;6;165.6;0;22/07/2019;0;;
Nectarlove;22/07/2019;1;T15;50%;3;7;129.1;0;22/07/2019;0;;
Nectarlove;22/07/2019;1;T15;50%;3;8;148.7;0;22/07/2019;0;;
Nectarlove;22/07/2019;1;T15;50%;3;9;152.7;0;22/07/2019;0;;
Nectarlove;22/07/2019;1;T15;50%;3;10;135.3;0;22/07/2019;0;;
Nectarlove;22/07/2019;1;T15;50%;3;11;98.6;0;22/07/2019;0;;
Nectarlove;22/07/2019;1;T15;50%;3;12;134.1;0;22/07/2019;0;;
Nectarlove;22/07/2019;1;T15;50%;3;13;133.5;0;22/07/2019;0;;
Nectarlove;22/07/2019;1;T15;50%;3;14;148.5;0;22/07/2019;0;;
Nectarlove;22/07/2019;1;T15;50%;3;15;190.3;0;22/07/2019;0;;
Nectarlove;22/07/2019;1;T15;50%;3;16;119.8;0;22/07/2019;0;;
Nectarlove;22/07/2019;1;T15;50%;3;17;114.2;0;22/07/2019;0;;
Nectarlove;22/07/2019;1;T15;50%;3;18;116.4;0;22/07/2019;0;;
Nectarlove;22/07/2019;1;T15;50%;3;19;170.8;0;22/07/2019;0;;
Nectarlove;22/07/2019;1;T15;50%;3;20;134.9;0;22/07/2019;0;;
Nectarlove;22/07/2019;1;T15;50%;4;1;157.7;0;22/07/2019;0;;
Nectarlove;22/07/2019;1;T15;50%;4;2;118.3;0;22/07/2019;0;;
Nectarlove;22/07/2019;1;T15;50%;4;3;162.8;0;22/07/2019;0;;
Nectarlove;22/07/2019;1;T15;50%;4;4;144.3;0;22/07/2019;0;;
Nectarlove;22/07/2019;1;T15;50%;4;5;118.7;0;22/07/2019;0;;
Nectarlove;22/07/2019;1;T15;50%;4;6;123.8;0;22/07/2019;0;;
Nectarlove;22/07/2019;1;T15;50%;4;7;157.1;0;22/07/2019;0;;
Nectarlove;22/07/2019;1;T15;50%;4;8;166.7;0;22/07/2019;0;;
Nectarlove;22/07/2019;1;T15;50%;4;9;125.7;0;22/07/2019;0;;
Nectarlove;22/07/2019;1;T15;50%;4;10;137.6;0;22/07/2019;0;;
Nectarlove;22/07/2019;1;T15;50%;4;11;133;0;22/07/2019;0;;
Nectarlove;22/07/2019;1;T15;50%;4;12;120.2;0;22/07/2019;0;;
Nectarlove;22/07/2019;1;T15;50%;4;13;143;0;22/07/2019;0;;
Nectarlove;22/07/2019;1;T15;50%;4;14;122.4;0;22/07/2019;0;;
Nectarlove;22/07/2019;1;T15;50%;4;15;109;0;22/07/2019;0;;
Nectarlove;22/07/2019;1;T15;50%;4;16;156.3;0;22/07/2019;0;;
Nectarlove;22/07/2019;1;T15;50%;4;17;152.4;0;22/07/2019;0;;
Nectarlove;22/07/2019;1;T15;50%;4;18;154.6;0;22/07/2019;0;;
Nectarlove;22/07/2019;1;T15;50%;4;19;138.1;0;22/07/2019;0;;
Nectarlove;22/07/2019;1;T15;50%;4;20;141.8;0;22/07/2019;0;;
Nectarlove;22/07/2019;1;T15;100%;1;1;178.3;0;22/07/2019;0;;
Nectarlove;22/07/2019;1;T15;100%;1;2;207.5;0;22/07/2019;0;;
Nectarlove;22/07/2019;1;T15;100%;1;3;154.9;0;22/07/2019;0;;
Nectarlove;22/07/2019;1;T15;100%;1;4;191.4;0;22/07/2019;0;;
Nectarlove;22/07/2019;1;T15;100%;1;5;228.4;0;22/07/2019;0;;
Nectarlove;22/07/2019;1;T15;100%;1;6;163;0;22/07/2019;0;;
Nectarlove;22/07/2019;1;T15;100%;1;7;144.9;0;22/07/2019;0;;
Nectarlove;22/07/2019;1;T15;100%;1;8;178.5;0;22/07/2019;0;;
Nectarlove;22/07/2019;1;T15;100%;1;9;185;0;22/07/2019;0;;
Nectarlove;22/07/2019;1;T15;100%;1;10;213.7;0;22/07/2019;0;;
Nectarlove;22/07/2019;1;T15;100%;1;11;181.7;0;22/07/2019;0;;
Nectarlove;22/07/2019;1;T15;100%;1;12;207.5;0;22/07/2019;0;;
Nectarlove;22/07/2019;1;T15;100%;1;13;170.5;0;22/07/2019;0;;
Nectarlove;22/07/2019;1;T15;100%;1;14;179.8;0;22/07/2019;0;;
Nectarlove;22/07/2019;1;T15;100%;1;15;169.7;0;22/07/2019;0;;
Nectarlove;22/07/2019;1;T15;100%;1;16;154.9;0;22/07/2019;0;;
Nectarlove;22/07/2019;1;T15;100%;1;17;211.6;0;22/07/2019;0;;
Nectarlove;22/07/2019;1;T15;100%;1;18;216.7;0;22/07/2019;0;;
Nectarlove;22/07/2019;1;T15;100%;1;19;166.8;0;22/07/2019;0;;
Nectarlove;22/07/2019;1;T15;100%;1;20;166.3;0;22/07/2019;0;;
Nectarlove;22/07/2019;1;T15;100%;2;1;167.5;0;22/07/2019;0;;
Nectarlove;22/07/2019;1;T15;100%;2;2;150.1;0;22/07/2019;0;;
Nectarlove;22/07/2019;1;T15;100%;2;3;161.1;0;22/07/2019;0;;
Nectarlove;22/07/2019;1;T15;100%;2;4;196.4;0;22/07/2019;0;;
Nectarlove;22/07/2019;1;T15;100%;2;5;165.8;0;22/07/2019;0;;
Nectarlove;22/07/2019;1;T15;100%;2;6;157.3;0;22/07/2019;0;;
Nectarlove;22/07/2019;1;T15;100%;2;7;177.7;0;22/07/2019;0;;
Nectarlove;22/07/2019;1;T15;100%;2;8;181.5;0;22/07/2019;0;;
Nectarlove;22/07/2019;1;T15;100%;2;9;203.9;0;22/07/2019;0;;
Nectarlove;22/07/2019;1;T15;100%;2;10;235.9;0;22/07/2019;0;;
Nectarlove;22/07/2019;1;T15;100%;2;11;243.7;0;22/07/2019;0;;
Nectarlove;22/07/2019;1;T15;100%;2;12;209.8;0;22/07/2019;0;;
Nectarlove;22/07/2019;1;T15;100%;2;13;181.6;0;22/07/2019;0;;
Nectarlove;22/07/2019;1;T15;100%;2;14;180;0;22/07/2019;0;;
Nectarlove;22/07/2019;1;T15;100%;2;15;165.3;0;22/07/2019;0;;
Nectarlove;22/07/2019;1;T15;100%;2;16;180.2;0;22/07/2019;0;;
Nectarlove;22/07/2019;1;T15;100%;2;17;150.6;0;22/07/2019;0;;
Nectarlove;22/07/2019;1;T15;100%;2;18;145.7;0;22/07/2019;0;;
Nectarlove;22/07/2019;1;T15;100%;2;19;168.6;0;22/07/2019;0;;
Nectarlove;22/07/2019;1;T15;100%;2;20;149.7;0;22/07/2019;0;;
Nectarlove;22/07/2019;1;T15;100%;3;1;131.4;0;22/07/2019;0;;
Nectarlove;22/07/2019;1;T15;100%;3;2;138.6;0;22/07/2019;0;;
Nectarlove;22/07/2019;1;T15;100%;3;3;148.9;0;22/07/2019;0;;
Nectarlove;22/07/2019;1;T15;100%;3;4;182.9;0;22/07/2019;0;;
Nectarlove;22/07/2019;1;T15;100%;3;5;169.1;0;22/07/2019;0;;
Nectarlove;22/07/2019;1;T15;100%;3;6;157.9;0;22/07/2019;0;;
Nectarlove;22/07/2019;1;T15;100%;3;7;192.3;0;22/07/2019;0;;
Nectarlove;22/07/2019;1;T15;100%;3;8;180.3;0;22/07/2019;0;;
Nectarlove;22/07/2019;1;T15;100%;3;9;238.3;0;22/07/2019;0;;
Nectarlove;22/07/2019;1;T15;100%;3;10;219.6;0;22/07/2019;0;;
Nectarlove;22/07/2019;1;T15;100%;3;11;148.7;0;22/07/2019;0;;
Nectarlove;22/07/2019;1;T15;100%;3;12;168.9;0;22/07/2019;0;;
Nectarlove;22/07/2019;1;T15;100%;3;13;145.3;0;22/07/2019;0;;
Nectarlove;22/07/2019;1;T15;100%;3;14;168.5;0;22/07/2019;0;;
Nectarlove;22/07/2019;1;T15;100%;3;15;180.1;0;22/07/2019;0;;
Nectarlove;22/07/2019;1;T15;100%;3;16;163.7;0;22/07/2019;0;;
Nectarlove;22/07/2019;1;T15;100%;3;17;188.4;0;22/07/2019;0;;
Nectarlove;22/07/2019;1;T15;100%;3;18;166.3;0;22/07/2019;0;;
Nectarlove;22/07/2019;1;T15;100%;3;19;196.2;0;22/07/2019;0;;
Nectarlove;22/07/2019;1;T15;100%;3;20;178.1;0;22/07/2019;0;;
Nectarlove;22/07/2019;1;T15;100%;4;1;165.4;0;22/07/2019;0;;
Nectarlove;22/07/2019;1;T15;100%;4;2;141.1;0;22/07/2019;0;;
Nectarlove;22/07/2019;1;T15;100%;4;3;228;0;22/07/2019;0;;
Nectarlove;22/07/2019;1;T15;100%;4;4;213.9;0;22/07/2019;0;;
Nectarlove;22/07/2019;1;T15;100%;4;5;175.1;0;22/07/2019;0;;
Nectarlove;22/07/2019;1;T15;100%;4;6;163.8;0;22/07/2019;0;;
Nectarlove;22/07/2019;1;T15;100%;4;7;188.9;0;22/07/2019;0;;
Nectarlove;22/07/2019;1;T15;100%;4;8;174.5;0;22/07/2019;0;;
Nectarlove;22/07/2019;1;T15;100%;4;9;180.5;0;22/07/2019;0;;
Nectarlove;22/07/2019;1;T15;100%;4;10;219.9;0;22/07/2019;0;;
Nectarlove;22/07/2019;1;T15;100%;4;11;172.9;0;22/07/2019;0;;
Nectarlove;22/07/2019;1;T15;100%;4;12;175.9;0;22/07/2019;0;;
Nectarlove;22/07/2019;1;T15;100%;4;13;171.8;0;22/07/2019;0;;
Nectarlove;22/07/2019;1;T15;100%;4;14;212.7;0;22/07/2019;0;;
Nectarlove;22/07/2019;1;T15;100%;4;15;162.8;0;22/07/2019;0;;
Nectarlove;22/07/2019;1;T15;100%;4;16;251.5;0;22/07/2019;0;;
Nectarlove;22/07/2019;1;T15;100%;4;17;179.4;0;22/07/2019;0;;
Nectarlove;22/07/2019;1;T15;100%;4;18;191.3;0;22/07/2019;0;;
Nectarlove;22/07/2019;1;T15;100%;4;19;177;0;22/07/2019;0;;
Nectarlove;22/07/2019;1;T15;100%;4;20;181.3;0;22/07/2019;0;;
