Harvest;H_Date;Mod;Box;Tree;Fruit;Weight
1;12/07/2018;S2M4;3;3;13;160.02
1;12/07/2018;S2M4;3;3;14;201.66
1;12/07/2018;S2M4;3;3;15;162.35
1;12/07/2018;S2M4;4;2;1;218.68
1;12/07/2018;S2M4;4;2;2;194.47
1;12/07/2018;S2M4;4;2;3;149.89
1;12/07/2018;S2M4;4;2;4;154.02
1;12/07/2018;S2M4;4;2;5;173.38
1;12/07/2018;S2M4;4;2;6;157.35
1;12/07/2018;S2M4;4;2;7;167.31
1;12/07/2018;S2M4;4;1;8;182.61
1;12/07/2018;S2M4;4;1;9;122.61
1;12/07/2018;S2M4;4;1;10;179.69
1;12/07/2018;S2M4;4;1;11;189.95
1;12/07/2018;S2M4;4;1;12;215.87
1;12/07/2018;S2M4;4;1;13;174.61
1;12/07/2018;S2M4;4;1;14;214.00
1;12/07/2018;S2M4;4;1;15;185.26
2;19/07/2018;S1M1;1;1;1;227.78
2;19/07/2018;S1M1;1;1;2;194.46
2;19/07/2018;S1M1;1;1;3;178.39
2;19/07/2018;S1M1;1;1;4;215.20
2;19/07/2018;S1M1;1;1;5;176.59
2;19/07/2018;S1M1;1;1;6;171.92
2;19/07/2018;S1M1;1;1;7;228.94
2;19/07/2018;S1M1;1;1;8;179.51
2;19/07/2018;S1M1;1;2;9;192.03
2;19/07/2018;S1M1;1;2;10;211.25
2;19/07/2018;S1M1;1;2;11;173.21
2;19/07/2018;S1M1;1;2;12;210.74
2;19/07/2018;S1M1;1;2;13;186.19
2;19/07/2018;S1M1;1;2;14;190.97
2;19/07/2018;S1M1;1;2;15;165.55
2;19/07/2018;S1M1;2;2;1;191.58
2;19/07/2018;S1M1;2;2;2;185.43
2;19/07/2018;S1M1;2;2;3;161.45
2;19/07/2018;S1M1;2;2;4;153.13
2;19/07/2018;S1M1;2;2;5;190.98
2;19/07/2018;S1M1;2;2;6;201.75
2;19/07/2018;S1M1;2;2;7;178.13
2;19/07/2018;S1M1;2;2;8;168.57
2;19/07/2018;S1M1;2;3;9;148.53
2;19/07/2018;S1M1;2;3;10;171.42
2;19/07/2018;S1M1;2;3;11;183.76
2;19/07/2018;S1M1;2;3;12;209.78
2;19/07/2018;S1M1;2;3;13;162.31
2;19/07/2018;S1M1;2;3;14;182.09
2;19/07/2018;S1M1;2;3;15;133.50
2;19/07/2018;S1M1;3;4;1;152.64
2;19/07/2018;S1M1;3;4;2;185.13
2;19/07/2018;S1M1;3;4;3;118.19
2;19/07/2018;S1M1;3;4;4;116.50
2;19/07/2018;S1M1;3;4;5;149.41
2;19/07/2018;S1M1;3;4;6;123.42
2;19/07/2018;S1M1;3;4;7;153.37
2;19/07/2018;S1M1;3;4;8;157.90
2;19/07/2018;S1M1;3;5;9;162.58
2;19/07/2018;S1M1;3;5;10;175.54
2;19/07/2018;S1M1;3;5;11;168.84
2;19/07/2018;S1M1;3;5;12;184.53
2;19/07/2018;S1M1;3;5;13;181.33
2;19/07/2018;S1M1;3;5;14;140.05
2;19/07/2018;S1M1;3;5;15;140.18
2;19/07/2018;S1M1;4;5;1;129.18
2;19/07/2018;S1M1;4;5;2;150.96
2;19/07/2018;S1M1;4;5;3;181.59
2;19/07/2018;S1M1;4;5;4;154.87
2;19/07/2018;S1M1;4;5;5;153.21
2;19/07/2018;S1M1;4;5;6;162.10
2;19/07/2018;S1M1;4;5;7;209.02
2;19/07/2018;S1M1;4;5;8;138.91
2;19/07/2018;S1M1;4;6;9;202.16
2;19/07/2018;S1M1;4;6;10;183.60
2;19/07/2018;S1M1;4;6;11;133.74
2;19/07/2018;S1M1;4;6;12;129.96
2;19/07/2018;S1M1;4;6;13;135.51
2;19/07/2018;S1M1;4;6;14;147.31
2;19/07/2018;S1M1;4;6;15;196.18
2;19/07/2018;S1M2;1;1;1;155.81
2;19/07/2018;S1M2;1;1;2;192.85
2;19/07/2018;S1M2;1;1;3;168.55
2;19/07/2018;S1M2;1;1;4;197.05
2;19/07/2018;S1M2;1;1;5;185.69
2;19/07/2018;S1M2;1;1;6;253.41
2;19/07/2018;S1M2;1;1;7;219.10
2;19/07/2018;S1M2;1;1;8;183.99
2;19/07/2018;S1M2;1;2;9;176.93
2;19/07/2018;S1M2;1;2;10;270.98
2;19/07/2018;S1M2;1;2;11;214.31
2;19/07/2018;S1M2;1;2;12;197.41
2;19/07/2018;S1M2;1;2;13;219.05
2;19/07/2018;S1M2;1;2;14;186.95
2;19/07/2018;S1M2;1;2;15;194.67
2;19/07/2018;S1M2;2;1;1;191.80
2;19/07/2018;S1M2;2;1;2;207.20
2;19/07/2018;S1M2;2;1;3;170.38
2;19/07/2018;S1M2;2;1;4;179.97
2;19/07/2018;S1M2;2;1;5;198.61
2;19/07/2018;S1M2;2;1;6;178.06
2;19/07/2018;S1M2;2;1;7;194.14
2;19/07/2018;S1M2;2;3;8;206.28
2;19/07/2018;S1M2;2;3;9;189.57
2;19/07/2018;S1M2;2;3;10;190.73
2;19/07/2018;S1M2;2;3;11;191.37
2;19/07/2018;S1M2;2;3;12;171.46
2;19/07/2018;S1M2;2;3;13;223.41
2;19/07/2018;S1M2;2;3;14;176.02
2;19/07/2018;S1M2;2;3;15;154.17
2;19/07/2018;S1M2;3;5;1;164.74
2;19/07/2018;S1M2;3;5;2;213.84
2;19/07/2018;S1M2;3;5;3;166.59
2;19/07/2018;S1M2;3;5;4;167.42
2;19/07/2018;S1M2;3;5;5;184.27
2;19/07/2018;S1M2;3;5;6;201.51
